classification;year;period;period_desc;aggregate_level;is_leaf_code;trade_flow_code;trade_flow;reporter_code;reporter;reporter_iso;partner_code;partner;partner_iso;second_partner_code;second_partner;second_partner_iso;customs_proc_code;customs;mode_of_transport_code;mode_of_transport;commodity_code;commodity;qty_unit_code;qty_unit;alt_qty_unit_code;alt_qty_unit;qty;alt_qty;netweight_kg;gross_weight_kg;trade_value_usd;cif_trade_value_usd;fob_trade_value_usd;flag
H3;2011;2011;2011;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 9725734976;NA;NA;0
H3;2012;2012;2012;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 2810684260;NA;NA;0
H3;2012;2012;2012;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 6773933945;NA;NA;0
H3;2012;2012;2012;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  391462175;NA;NA;0
H3;2012;2012;2012;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;10662566848;NA;NA;0
H4;2013;2013;2013;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 4508390628;NA;NA;0
H4;2013;2013;2013;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 6807960721;NA;NA;0
H4;2013;2013;2013;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  568770169;NA;NA;0
H4;2013;2013;2013;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;11130950704;NA;NA;0
H4;2014;2014;2014;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 4614572533;NA;NA;0
H4;2014;2014;2014;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 7692956614;NA;NA;0
H4;2014;2014;2014;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  485075664;NA;NA;0
H4;2014;2014;2014;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;11239608448;NA;NA;0
H4;2015;2015;2015;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 4073756458;NA;NA;0
H4;2015;2015;2015;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 5085696014;NA;NA;0
H4;2015;2015;2015;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  722966009;NA;NA;0
H4;2015;2015;2015;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 7226224049;NA;NA;0
H4;2016;2016;2016;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 3090211505;NA;NA;0
H4;2016;2016;2016;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 3753798841;NA;NA;0
H4;2016;2016;2016;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA;  656382017;NA;NA;0
H4;2016;2016;2016;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA;NA;NA;NA;NA; 5436084125;NA;NA;0
H5;2017;2017;2017;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 3683818751;NA;NA;4
H5;2017;2017;2017;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 3959835938;NA;NA;4
H5;2017;2017;2017;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;  778767324;NA;NA;4
H5;2017;2017;2017;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 5968418547;NA;NA;4
H5;2018;2018;2018;0;0;1;Import;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 4352591611;NA;NA;4
H5;2018;2018;2018;0;0;1;Import;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 5010624686;NA;NA;4
H5;2018;2018;2018;0;0;2;Export;218;Ecuador;ECU;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 1494317067;NA;NA;4
H5;2018;2018;2018;0;0;2;Export;218;Ecuador;ECU;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 6671508999;NA;NA;4
