classification;year;period;period_desc;aggregate_level;is_leaf_code;trade_flow_code;trade_flow;reporter_code;reporter;reporter_iso;partner_code;partner;partner_iso;second_partner_code;second_partner;second_partner_iso;customs_proc_code;customs;mode_of_transport_code;mode_of_transport;commodity_code;commodity;qty_unit_code;qty_unit;alt_qty_unit_code;alt_qty_unit;qty;alt_qty;netweight_kg;gross_weight_kg;trade_value_usd;cif_trade_value_usd;fob_trade_value_usd;flag
H3;2010;2010;2010;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 733526204;NA;NA;4
H3;2010;2010;2010;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 208741693;NA;NA;0
H3;2010;2010;2010;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 703910833;NA;NA;0
H3;2011;2011;2011;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1112706594;NA;NA;4
H3;2011;2011;2011;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 890199751;NA;NA;4
H3;2011;2011;2011;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 336850398;NA;NA;4
H3;2011;2011;2011;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 891967402;NA;NA;4
H4;2012;2012;2012;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1293709747;NA;NA;4
H4;2012;2012;2012;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 940563644;NA;NA;4
H4;2012;2012;2012;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 317693982;NA;NA;0
H4;2012;2012;2012;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1792845768;NA;NA;4
H4;2013;2013;2013;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1459053807;NA;NA;4
H4;2013;2013;2013;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1209663814;NA;NA;4
H4;2013;2013;2013;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 324730332;NA;NA;0
H4;2013;2013;2013;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1250064509;NA;NA;0
H4;2014;2014;2014;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1884289173;NA;NA;4
H4;2014;2014;2014;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1248376851;NA;NA;4
H4;2014;2014;2014;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 443024331;NA;NA;0
H4;2014;2014;2014;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;2043752572;NA;NA;4
H4;2015;2015;2015;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1780155045;NA;NA;4
H4;2015;2015;2015;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1039957181;NA;NA;4
H4;2015;2015;2015;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 468906724;NA;NA;0
H4;2015;2015;2015;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1102471322;NA;NA;0
H4;2016;2016;2016;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 479933632;NA;NA;0
H4;2016;2016;2016;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;1007885490;NA;NA;0
H5;2017;2017;2017;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;2027341953;NA;NA;4
H5;2017;2017;2017;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 744080834;NA;NA;4
H5;2017;2017;2017;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 451917544;NA;NA;0
H5;2017;2017;2017;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 646593117;NA;NA;0
H5;2018;2018;2018;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA;2075383222;NA;NA;4
H5;2018;2018;2018;0;0;1;Import;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 638659616;NA;NA;4
H5;2018;2018;2018;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;156;China;CHN;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 459574941;NA;NA;4
H5;2018;2018;2018;0;0;2;Export;68;Bolivia (Plurinational State of);BOL;842;USA;USA;NA;NA;NA;NA;NA;NA;NA;TOTAL;All Commodities;1;No Quantity;NA;NA; 0;NA; 0;NA; 526019695;NA;NA;0
